,SPY,QQQ,IWM,AAPL,MSFT,NVDA,JPM,GS,BAC,JNJ,UNH,PFE,AMZN,WMT,HD,XOM,CVX,CAT
HAR-X,0.8187735758719159,1.0261557482150447,0.9797891642492466,2.7067988435044277,2.407997088176995,2.5079563380068444,1.089085131881383,1.1390690598603388,1.4276624747356608,2.3818822383221874,1.7087999280310284,2.275433120683149,3.4551876185088077,1.9194299268719859,1.1998056566168014,1.8084710907792458,1.5590780793431533,2.1767962510671346
HAR-RV,0.8562385294086133,1.0742024855144143,1.0299224677430943,2.7330938793533193,2.4654116869370815,2.4467017087045884,1.089183308059713,1.167154603381881,1.4195828355811626,2.4111581080676343,1.702842896147641,2.278233832553119,3.560950795367168,1.9595216380521576,1.157461968126149,1.7887864519631687,1.5792152647928788,2.1228445814457917
Persistence,0.913233307016536,1.1248776563813225,1.0995372156936472,2.7731791877194567,2.491065418352187,2.355492929672166,1.1607111247282924,1.2020109830314918,1.4509362546902083,2.4321359617182123,1.6776748720688863,2.269022148705543,3.608348421456205,1.9619190441590681,1.2323653614798784,1.7131526392837062,1.6084439224137301,2.1145495223603112
Random Forest,1.0526631997284897,1.2305257723467256,1.19519550742785,2.8894426260442274,2.6517655844827037,2.776774652944585,1.444370978727405,1.4174913721731577,1.547318662200271,2.515443270356105,1.85073743404002,2.4939722362030734,3.7976062873729033,2.0284470786204754,1.4415682692940632,1.8444229695896208,1.94198158709135,2.3142460040302293
GARCH-RF,1.3042880601979114,1.3984120653669454,1.448396255094613,2.916330653181182,2.837259738255567,2.8008669506878814,1.7735915329332066,1.4134428921884679,1.5111487874370029,2.404152530997685,1.8055758972557885,2.5387480376110454,3.922687047186019,2.0879102675332053,1.5006872385209398,1.9448461868694658,1.8183726503527284,2.341579505422514
LSTM,3.838996572769657,3.7716814989477134,4.076492861261341,4.920313866904673,6.1863595229149135,4.928460693597745,5.656817336598925,5.304774688043573,3.1091892062166444,4.6061461634826575,6.168172737025809,4.237819565723627,4.78001395684358,3.9893940765844498,6.261352978341977,5.920427665530946,10.890301488912367,3.834405731720743
"GARCH(1,1)",5.3596831947471015,5.497510476148773,4.773975413337223,7.800006204598311,8.008230244140787,8.919192567842009,6.5810800099035065,6.510234689196805,6.689841514941924,3.426978233277897,5.486179997151112,5.186636848383952,10.432138550443984,7.544016398985428,5.805364164294947,5.001830604219982,4.325537503730084,5.2436368596202705
GARCH-XGBoost,5.033861089653974,4.696470295765912,4.268571764225561,6.354669379663025,7.585069901595257,8.012632790094598,7.237961843668934,7.46297659512054,2.3352474874603835,6.336679222982876,7.698642214400684,4.9006178932082864,5.0924776241974214,4.849817551032575,8.829214540772899,7.371275204053782,12.848690051915089,5.1072673942183995
XGBoost,5.029670999756369,4.709949520955272,4.292002823106308,6.559222169708619,7.597234246217584,8.814119283060569,7.257706767523605,7.474815328285787,2.691287848160439,6.4875117377568134,7.915247734924305,4.937229664139276,5.226644649944866,4.714578168204162,8.756921528677486,7.465178486222288,12.764117910008798,5.289980126232446
"GJR-GARCH(1,1)",6.874179162948941,7.0929765329638474,5.628065602557821,8.949913367061066,9.196196071837743,9.382813615174262,7.47431373517768,6.515506098231359,7.221984174446546,3.7915473830247928,5.463016214033334,6.040140209354252,11.077864172449747,7.393536633938427,6.092235804872824,5.710201850097022,4.568393606516759,6.612328147241301
"EGARCH(1,1)",6.490798238877726,6.949227080299377,6.023438390932715,8.506538421947413,8.504113833090017,10.394782200990099,8.18955892410197,8.357703206477314,8.184228213767913,4.499671256978245,8.436036195626716,6.127331995831416,8.181751441086897,6.245518317533035,7.715718460859906,6.483376627679469,7.318725698686404,5.935116155334392
