,RMSE,MAE,QLIKE,DirAcc,RMSE_h5,RMSE_h20
"GARCH(1,1)",6.255,4.072,2.224,0.797,6.586,12.185
"EGARCH(1,1)",7.364,4.348,2.226,0.79,7.875,12.36
"GJR-GARCH(1,1)",6.949,4.64,2.219,0.763,6.946,12.036
HAR-RV,1.825,1.036,2.179,0.928,4.91,14.451
HAR-X,1.81,1.076,2.183,0.926,4.79,14.279
Persistence,1.844,1.007,2.18,0.928,5.022,14.564
Random Forest,2.024,1.219,2.18,0.92,5.019,14.35
XGBoost,6.555,2.423,2.158,0.885,7.86,13.289
LSTM,5.138,2.375,2.172,0.877,6.624,13.347
GARCH-RF,2.098,1.258,2.177,0.929,4.925,14.179
GARCH-XGBoost,6.446,2.334,2.16,0.892,7.721,13.215
